OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
-1,166,538,Fialho et al. 2014,Ocurrencias,-34.95783333,-7.025166667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3233,75,75,346,area,1,0,1977.471465,22,32
-1,176,538,Fialho et al. 2014,Ocurrencias,-35.83636111,-9.262611111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3243,75,75,623,area,1,0,2442.04213,32,33
-1,160,538,Fialho et al. 2014,Ocurrencias,-35.13313889,-7.044277778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3227,75,75,381,area,1,0,2580.836166,16,34
-1,172,538,Fialho et al. 2014,Ocurrencias,-35.39194444,-7.609166667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3239,75,75,714,area,1,0,2667.319051,28,35
-1,153,538,Fialho et al. 2014,Ocurrencias,-35.18247222,-6.726055556,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3220,75,75,467,area,1,0,2907.89538,9,36
-1,330,533,Aguiar et al. 2007,Richness,-53.30305556,-22.72472222,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Line transects/boat trips,0,2006,0,"years, days",NA,NA,5.38,D,6.9125,AR,Folivore_frugivore,52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2342,75,75,1,area,0,281.8623936,0.096885865,16,37
-1,332,533,Aguiar et al. 2007,Richness,-53.30944444,-22.77527778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Line transects/boat trips,1,2006,0,"years, days",NA,NA,5.38,D,6.9125,AR,Folivore_frugivore,52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2344,75,75,4,area,0,44.01951034,0.193771729,18,38
-1,334,533,Aguiar et al. 2007,Richness,-53.325,-22.72916667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Line transects/boat trips,0,2006,0,"years, days",NA,NA,5.38,D,6.9125,AR,Folivore_frugivore,52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2346,75,75,1,area,0,295.2918524,1.06574451,20,39
-1,341,533,Aguiar et al. 2007,Richness,-53.34805556,-22.75027778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Line transects/boat trips,1,2006,0,"years, days",NA,NA,5.38,D,6.9125,AR,Folivore_frugivore,52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,75,75,1,area,0,69.60095708,1.453287968,27,40
-1,336,533,Aguiar et al. 2007,Richness,-53.32805556,-22.75888889,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Line transects/boat trips,0,2006,0,"years, days",NA,NA,5.38,D,6.9125,AR,Folivore_frugivore,52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2348,75,75,1,area,0,93.3794828,1.647059697,22,41
