"Source","X","Y","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","species_number","Source_grp","Dataset"
"Onderdonk & Chapman 2000",30.28538889,0.50315,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.28604444,0.4994,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.30201111,0.520497222,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.272575,0.463363889,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",0,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.28786944,0.505383333,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.29818333,0.513855556,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.3034,0.517333333,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.30695278,0.519116667,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.309175,0.531916667,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.311275,0.528333333,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",0,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.31536944,0.530658333,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.32058333,0.557166667,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.32103333,0.570613889,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.322775,0.543197222,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.32351111,0.540236111,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",0,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.33110833,0.528366667,"Uganda","Africa","Cercopithecidae","Colobus","Colobus guereza","Colobus_guereza","Direct observation",1,1995,0,NA,8.89,"D",21.725,"AR","Folivore_frugivore",74.39,1.459,12,486.66,175,387.79,294,1,1.93,"Polygyndry","Harem Polygyny",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Colobus guereza",56,"c","Colobus_guereza_c"
"Onderdonk & Chapman 2000",30.32359,0.597612,"Uganda","Africa","Hominidae","Pan","Pan troglodytes","Pan_troglodytes ","Direct observation",0,1995,0,NA,53.7,"D",1714.9,"BOTH","Omnivore",368.35,1.423,63.1,1825,229,1260.81,720,1.05,2.9,"Polygyndry","Polygyndry",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Pan troglodytes ",107,"d","Pan_troglodytes _d"
"Onderdonk & Chapman 2000",30.321879,0.593395,"Uganda","Africa","Hominidae","Pan","Pan troglodytes","Pan_troglodytes ","Direct observation",0,1995,0,NA,53.7,"D",1714.9,"BOTH","Omnivore",368.35,1.423,63.1,1825,229,1260.81,720,1.05,2.9,"Polygyndry","Polygyndry",NA,"2Tropical_and_suptropical_moist_broadleaf_forest","Pan troglodytes ",107,"d","Pan_troglodytes _d"
